sha256	dest_filename	source_url	license	utc_date
c40306b066f21da214e171f076aea57dedfdecff57dbffe095d01850a63c0581	Jupiter_and_its_shrunken_Great_Red_Spot.jpg	https://commons.wikimedia.org/wiki/File%3AJupiter_and_its_shrunken_Great_Red_Spot.jpg	Public domain	2026-05-17
3f1ae63d6987c5d10d0221797b0757c5c348d2249f98f3ff89916f75dae20a19	Jupiter_by_Cassini-Huygens.jpg	https://commons.wikimedia.org/wiki/File%3AJupiter_by_Cassini-Huygens.jpg	Public domain	2026-05-17
94610a6e483d8b6a1206d3a7929e12055537cd085f4247eaccd17fb9920562cf	Saturn_during_Equinox.jpg	https://commons.wikimedia.org/wiki/File%3ASaturn_during_Equinox.jpg	Public domain	2026-05-17
60d1cf30001a1bb9de36ffa460f23aa506557882fbecc2cda45244b57f6c04ba	Saturn__planet__large_rotated.jpg	https://commons.wikimedia.org/wiki/File%3ASaturn_%28planet%29_large_rotated.jpg	Public domain	2026-05-17
539b37363198c386ae66b526f5204d586b7dee94df8ebe731cadd181d398eae8	lorc__tank.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/tank.svg	CC-BY-3.0	2026-05-17
6e40f73d1e992b6054f8cae2dfc5882001ae6831ee5517330751691b1ad6c113	skoll__tank-tread.svg	https://raw.githubusercontent.com/game-icons/icons/master/skoll/tank-tread.svg	CC-BY-3.0	2026-05-17
2876790507ee94473404741e9ff83a67aadf0bbf2767ef33d744071044df3721	delapouite__helicopter.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/helicopter.svg	CC-BY-3.0	2026-05-17
25a7b2c8a48febb7158c04fa637800267e8d214414c5f78f2b0582639ee3d169	cathelineau__iron-hulled-warship.svg	https://raw.githubusercontent.com/game-icons/icons/master/cathelineau/iron-hulled-warship.svg	CC-BY-3.0	2026-05-17
34cbbe82c5d4cee725f4a194a64725fabef53243b2d94e6951d1507d97586b13	delapouite__submarine.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/submarine.svg	CC-BY-3.0	2026-05-17
7fff1af08de926e03fd3a89a073966448f977acac028a1637b397941faf13aa5	lord-berandas__bomber.svg	https://raw.githubusercontent.com/game-icons/icons/master/lord-berandas/bomber.svg	CC-BY-3.0	2026-05-17
e42545c4b805825e3e941f4b7479c67920796c286fe3c645de2badea55e4457e	sbed__rifle.svg	https://raw.githubusercontent.com/game-icons/icons/master/sbed/rifle.svg	CC-BY-3.0	2026-05-17
bc33053710b13be623486edc9a1e28211e78990217448f97210f91000bb163e4	delapouite__flamethrower-soldier.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/flamethrower-soldier.svg	CC-BY-3.0	2026-05-17
0e1114054e85d464c9e788b0d5dff3d13860de6b59f9194b45bae42c08786c1b	lorc__missile-mech.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/missile-mech.svg	CC-BY-3.0	2026-05-17
da33f64b296311a5d25569720142424e068fed73f9d1e378131c8df145da1c54	lorc__cannon.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/cannon.svg	CC-BY-3.0	2026-05-17
41d96121b73f65dea037f6f9d6d1f9f76ce2692603c486d60331ffcb0b526e63	pierre-leducq__anti-aircraft-gun.svg	https://raw.githubusercontent.com/game-icons/icons/master/pierre-leducq/anti-aircraft-gun.svg	CC-BY-3.0	2026-05-17
c80176a62eda2cec60d6334b142aafa4ab84f6958230685a3e19d9e5e044ad1f	quoting__artillery-shell.svg	https://raw.githubusercontent.com/game-icons/icons/master/quoting/artillery-shell.svg	CC-BY-3.0	2026-05-17
2339694fbf6cf39db839af82b15a9f230b9ab303336aab05194e7b271c0fa76b	lorc__rocket.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/rocket.svg	CC-BY-3.0	2026-05-17
316598fbff55944b6053b2ab8fb4523e2617b058ed47e5796e846f2f3b2d317f	delapouite__mini-submarine.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/mini-submarine.svg	CC-BY-3.0	2026-05-17
54c10c69608b28856d6c90c8cd6086f198712b4d1da1aec875f9134e1e1c73f8	lorc__missile-pod.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/missile-pod.svg	CC-BY-3.0	2026-05-17
8d9cfd69ff2f0a10de46efce2462625a3d69154944788f848c151d9dc4a81e7f	delapouite__jet-fighter.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/jet-fighter.svg	CC-BY-3.0	2026-05-17
5ca7b78db9dfd8efca07e4b1833cf951a6d0dc192fb779830cc097bf803381d8	delapouite__cavalry.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/cavalry.svg	CC-BY-3.0	2026-05-17
2905d9783a7ef709a6eab9587ef03f0fbaa5e9161d2c50c18dd9e90917b86f7f	lorc__locked-fortress.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/locked-fortress.svg	CC-BY-3.0	2026-05-17
cd139b91c11138daae1cc9e32cee5ca4e43e1f165ba6bde1297f30780608716b	delapouite__castle.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/castle.svg	CC-BY-3.0	2026-05-17
92f7c435b8adc711ee65dc8d53765e9c7ccc11b556d31f52861e6d7deacd3563	quoting__bunker.svg	https://raw.githubusercontent.com/game-icons/icons/master/quoting/bunker.svg	CC-BY-3.0	2026-05-17
9584bb3c72fd5e5597f47dd592b109fc0a057afdf56ff1baa8eca6e834ffe639	delapouite__watchtower.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/watchtower.svg	CC-BY-3.0	2026-05-17
38013e8d79d3e02f036fabf5b450ca960235a806e5b79c22fa77f739db480d1c	lorc__stone-tower.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/stone-tower.svg	CC-BY-3.0	2026-05-17
f1b13dfc4b4d5fea4e81e058031d8d02f2f1b776f3d246b66f13fb3768bb1050	delapouite__barracks.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/barracks.svg	CC-BY-3.0	2026-05-17
c33e8f5a722f3100371175b7dc004ad2c735a333d205f70e191735234c8e3fe1	heavenly-dog__defensive-wall.svg	https://raw.githubusercontent.com/game-icons/icons/master/heavenly-dog/defensive-wall.svg	CC-BY-3.0	2026-05-17
30110e052711d7986e0fc203536f9d5905978fbe7deff9eea8e2df242836a081	delapouite__triple-gate.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/triple-gate.svg	CC-BY-3.0	2026-05-17
27445cb16773b3e3548eea7898a5e5014ea0ec51dfee0495a6fd580ece4ded8e	delapouite__ancient-ruins.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/ancient-ruins.svg	CC-BY-3.0	2026-05-17
970049a503a93715dfc8cb51b2b0c0df949e07e86067f3b81181661bc925b9c7	delapouite__factory.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/factory.svg	CC-BY-3.0	2026-05-17
707f74b21ca66d231e63847af7ae12f396fc3fd9cd29802d55076f9bbefd0d99	delapouite__observatory.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/observatory.svg	CC-BY-3.0	2026-05-17
7c0637b7e0fe3c9f8c57726cb44b8afe2e0629e3b43a8e554af0624fbfd2080a	delapouite__control-tower.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/control-tower.svg	CC-BY-3.0	2026-05-17
53b8df3b907d560cba62313026423480dd4cf66c49ac97fb43dba8c1add54274	delapouite__power-generator.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/power-generator.svg	CC-BY-3.0	2026-05-17
867adff3d671be1afce374f3c20c0b49af7310e879ecd6105cb536cf75bc43f8	delapouite__oil-rig.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/oil-rig.svg	CC-BY-3.0	2026-05-17
fae1dfbf09a3ee5f2daaf7a86e05faabf5bbe39cfde8348303016465ab65db77	lorc__tower-fall.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/tower-fall.svg	CC-BY-3.0	2026-05-17
0080003ce4ab0ad6479d007d84e8144a993faaf96339877e2c0bf17c0a57f9e7	delapouite__flag-objective.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/flag-objective.svg	CC-BY-3.0	2026-05-17
d4c05e105e7604d9d9257d3941659ea1addbe42d9ede32a22bd18c984f2ddeab	delapouite__crosshair.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/crosshair.svg	CC-BY-3.0	2026-05-17
a0530329c6e950a4bcd65c302042b5bc46834c0298293e7b687b3daae8fb5a8c	badges__crosshair.svg	https://raw.githubusercontent.com/game-icons/icons/master/badges/crosshair.svg	CC-BY-3.0	2026-05-17
613e6c9fff6a22270ee3c1bb08a1466a199088d559e30d9fc74edcde05b8f82e	sbed__targeted.svg	https://raw.githubusercontent.com/game-icons/icons/master/sbed/targeted.svg	CC-BY-3.0	2026-05-17
d977de17aa347c15a311e96ee4c7194837e47d119d2b5a06bc1dbbd2cd1a92f2	lorc__crossed-swords.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/crossed-swords.svg	CC-BY-3.0	2026-05-17
29afebab77ace6a635b1727629d2f4c019ea3b6da2f3fcc9ebd3e464af6c3d58	lorc__crossed-axes.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/crossed-axes.svg	CC-BY-3.0	2026-05-17
a5c07730d1976b7118bd186378bdf511900013d2e92a3c714be2c672a28bf101	delapouite__triangle-target.svg	https://raw.githubusercontent.com/game-icons/icons/master/delapouite/triangle-target.svg	CC-BY-3.0	2026-05-17
2bf571782b8046f6c281dd40517009a2f40e86320d2cf2f31224c63f8e132468	lorc__target-shot.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/target-shot.svg	CC-BY-3.0	2026-05-17
59844847076335ce2ff91a48b65be75ff7dee19a85ed18201968e7723330369e	lorc__laurels.svg	https://raw.githubusercontent.com/game-icons/icons/master/lorc/laurels.svg	CC-BY-3.0	2026-05-17
